entryAge,policyTerm,rate
17,5,216.57
17,6,179.43
17,7,152.88
17,8,132.95
17,9,117.44
17,10,105.02
17,11,94.86
17,12,86.39
17,13,79.22
17,14,73.07
17,15,67.75
17,16,63.09
17,17,58.99
17,18,55.35
17,19,52.09
17,20,49.17
17,21,46.54
17,22,44.15
17,23,41.98
17,24,40
17,25,38.18
17,26,36.52
17,27,35
17,28,33.59
17,29,32.3
17,30,31.1
17,31,30
17,32,28.98
17,33,28.03
17,34,27.16
17,35,26.36
17,36,25.61
17,37,24.93
17,38,24.29
17,39,23.71
17,40,23.17
17,41,22.68
17,42,22.23
17,43,21.81
17,44,21.44
17,45,21.09
17,46,20.78
17,47,20.5
17,48,20.24
18,5,216.57
18,6,179.43
18,7,152.88
18,8,132.95
18,9,117.44
18,10,105.03
18,11,94.86
18,12,86.39
18,13,79.23
18,14,73.08
18,15,67.76
18,16,63.11
18,17,59.01
18,18,55.37
18,19,52.12
18,20,49.2
18,21,46.57
18,22,44.19
18,23,42.02
18,24,40.04
18,25,38.24
18,26,36.58
18,27,35.06
18,28,33.67
18,29,32.38
18,30,31.19
18,31,30.1
18,32,29.09
18,33,28.16
18,34,27.3
18,35,26.5
18,36,25.77
18,37,25.09
18,38,24.47
18,39,23.9
18,40,23.38
18,41,22.9
18,42,22.46
18,43,22.06
18,44,21.69
18,45,21.36
18,46,21.06
18,47,20.79
19,5,216.57
19,6,179.43
19,7,152.88
19,8,132.95
19,9,117.44
19,10,105.03
19,11,94.87
19,12,86.41
19,13,79.24
19,14,73.1
19,15,67.78
19,16,63.13
19,17,59.03
19,18,55.4
19,19,52.15
19,20,49.24
19,21,46.61
19,22,44.23
19,23,42.07
19,24,40.1
19,25,38.3
19,26,36.66
19,27,35.14
19,28,33.76
19,29,32.48
19,30,31.3
19,31,30.22
19,32,29.22
19,33,28.3
19,34,27.45
19,35,26.67
19,36,25.95
19,37,25.28
19,38,24.68
19,39,24.12
19,40,23.61
19,41,23.14
19,42,22.72
19,43,22.33
19,44,21.98
19,45,21.66
19,46,21.38
20,5,216.57
20,6,179.43
20,7,152.88
20,8,132.96
20,9,117.45
20,10,105.04
20,11,94.89
20,12,86.42
20,13,79.26
20,14,73.12
20,15,67.8
20,16,63.16
20,17,59.06
20,18,55.43
20,19,52.19
20,20,49.28
20,21,46.66
20,22,44.29
20,23,42.13
20,24,40.17
20,25,38.38
20,26,36.74
20,27,35.24
20,28,33.86
20,29,32.59
20,30,31.43
20,31,30.36
20,32,29.37
20,33,28.46
20,34,27.62
20,35,26.86
20,36,26.15
20,37,28.5
20,38,24.91
20,39,24.37
20,40,23.87
20,41,23.42
20,42,23.01
20,43,22.64
20,44,22.3
20,45,21.99
21,5,216.57
21,6,179.43
21,7,152.89
21,8,132.97
21,9,117.46
21,10,105.06
21,11,94.9
21,12,86.44
21,13,79.28
21,14,73.15
21,15,67.83
21,16,63.19
