entryAge,policyTerm,rate
20,20,4.43
20,25,4.56
20,30,4.76
20,35,5.08
20,40,5.49
21,20,4.47
21,25,4.62
21,30,4.86
21,35,5.21
21,40,5.66
22,20,4.51
22,25,4.69
22,30,4.96
22,35,5.35
22,40,5.84
23,20,4.57
23,25,4.77
23,30,5.08
23,35,5.51
23,40,6.04
24,20,4.63
24,25,4.85
24,30,5.21
24,35,5.69
24,40,6.26
25,15,4.53
25,20,4.69
25,25,4.95
25,30,5.35
25,35,5.88
25,40,6.50
26,15,4.57
26,20,4.77
26,25,5.07
26,30,5.52
26,35,6.08
26,40,6.77
27,15,4.63
27,20,4.85
27,25,5.20
27,30,5.70
27,35,6.31
27,40,7.06
28,15,4.70
28,20,4.95
28,25,5.35
28,30,5.90
28,35,6.56
28,40,7.37
29,15,4.78
29,20,5.07
29,25,5.52
29,30,6.13
29,35,6.84
29,40,7.72
30,10,4.65
30,15,4.87
30,20,5.20
30,25,5.71
30,30,6.37
30,35,7.15
30,40,8.10
31,10,4.72
31,15,4.97
31,20,5.36
31,25,5.93
31,30,6.64
31,35,7.49
32,10,4.81
32,15,5.10
32,20,5.54
32,25,6.18
32,30,6.94
32,35,7.88
33,10,4.93
33,15,5.25
33,20,5.75
33,25,6.45
33,30,7.27
33,35,8.28
34,10,5.05
34,15,5.42
34,20,5.99
34,25,6.75
34,30,7.64
34,35,8.73
35,10,5.19
35,15,5.61
35,20,6.25
35,25,7.08
35,30,8.05
35,35,9.24
36,10,5.35
36,15,5.83
36,20,6.55
36,25,7.44
36,30,8.50
37,10,5.53
37,15,6.08
37,20,6.88
37,25,7.83
37,30,9.00
38,10,5.74
38,15,6.37
38,20,7.24
38,25,8.26
38,30,9.52
39,10,5.97
39,15,6.68
39,20,7.64
39,25,8.74
39,30,10.10
40,10,6.23
40,15,7.03
40,20,8.06
40,25,9.26
40,30,10.74
41,10,6.53
41,15,7.42
41,20,8.52
41,25,9.84
42,10,6.86
42,15,7.85
42,20,9.03
42,25,10.47
43,10,7.23
43,15,8.31
43,20,9.58
43,25,11.14
44,10,7.64
44,15,8.82
44,20,10.18
44,25,11.88
45,10,8.11
45,15,9.37
45,20,10.86
45,25,12.70
46,10,8.63
46,15,9.97
46,20,11.60
47,10,9.20
47,15,10.60
47,20,12.41
48,10,9.82
48,15,11.30
48,20,13.27
49,10,10.49
49,15,12.10
49,20,14.21
50,10,11.19
50,15,13.00
50,20,15.26
51,10,11.94
51,15,13.90
52,10,12.75
52,15,14.90
53,10,13.63
53,15,16.00
54,10,14.58
54,15,17.20
55,10,15.63
55,15,18.50
56,10,16.79
57,10,18.07
58,10,19.38
59,10,20.86
60,10,22.57
