entryAge,policyTerm,rate
20,6,3.63
20,7,3.63
20,8,3.64
20,9,3.65
20,10,3.66
20,11,3.66
20,12,3.67
20,13,3.67
20,14,3.68
20,15,3.68
20,16,3.69
20,17,3.71
20,18,3.72
20,19,3.74
20,20,3.76
21,6,3.66
21,7,3.66
21,8,3.67
21,9,3.68
21,10,3.68
21,11,3.68
21,12,3.69
21,13,3.69
21,14,3.7
21,15,3.71
21,16,3.72
21,17,3.74
21,18,3.76
21,19,3.78
21,20,3.81
22,6,3.69
22,7,3.69
22,8,3.7
22,9,3.7
22,10,3.7
22,11,3.7
22,12,3.71
22,13,3.71
22,14,3.72
22,15,3.74
22,16,3.75
22,17,3.77
22,18,3.8
22,19,3.83
22,20,3.86
23,6,3.71
23,7,3.71
23,8,3.72
23,9,3.72
23,10,3.72
23,11,3.72
23,12,3.73
23,13,3.74
23,14,3.75
23,15,3.77
23,16,3.79
23,17,3.82
23,18,3.85
23,19,3.88
23,20,3.92
24,6,3.73
24,7,3.73
24,8,3.73
24,9,3.73
24,10,3.73
24,11,3.74
24,12,3.75
24,13,3.76
24,14,3.78
24,15,3.81
24,16,3.83
24,17,3.86
24,18,3.9
24,19,3.94
24,20,3.98
25,6,3.75
25,7,3.75
25,8,3.74
25,9,3.75
25,10,3.75
25,11,3.76
25,12,3.78
25,13,3.8
25,14,3.82
25,15,3.85
25,16,3.88
25,17,3.92
25,18,3.96
25,19,4.01
25,20,4.06
26,6,3.76
26,7,3.76
26,8,3.76
26,9,3.76
26,10,3.77
26,11,3.79
26,12,3.81
26,13,3.83
26,14,3.86
26,15,3.9
26,16,3.94
26,17,3.98
26,18,4.03
26,19,4.08
26,20,4.14
27,6,3.77
27,7,3.77
27,8,3.77
27,9,3.78
27,10,3.8
27,11,3.82
27,12,3.85
27,13,3.88
27,14,3.92
27,15,3.96
27,16,4.01
27,17,4.06
27,18,4.11
27,19,4.17
27,20,4.23
28,6,3.78
28,7,3.78
28,8,3.79
28,9,3.81
28,10,3.83
28,11,3.86
28,12,3.9
28,13,3.94
28,14,3.98
28,15,4.03
28,16,4.09
28,17,4.14
28,18,4.21
28,19,4.27
28,20,4.35
29,6,3.79
29,7,3.81
29,8,3.82
29,9,3.85
29,10,3.88
29,11,3.92
29,12,3.96
29,13,4.01
29,14,4.06
29,15,4.12
29,16,4.18
29,17,4.24
29,18,4.31
29,19,4.39
29,20,4.47
30,6,3.82
30,7,3.84
30,8,3.87
30,9,3.9
30,10,3.94
30,11,3.98
30,12,4.04
30,13,4.09
30,14,4.15
30,15,4.22
30,16,4.28
30,17,4.36
30,18,4.44
30,19,4.53
30,20,4.62
31,6,3.86
31,7,3.89
31,8,3.92
31,9,3.97
31,10,4.01
31,11,4.07
31,12,4.13
31,13,4.19
31,14,4.26
31,15,4.33
31,16,4.41
31,17,4.49
31,18,4.59
31,19,4.69
31,20,4.8
32,6,3.92
32,7,3.96
32,8,4
32,9,4.05
32,10,4.11
32,11,4.17
32,12,4.24
