entryAge,policyTerm,rate
17,5,216.15
17,6,178.93
17,7,152.29
17,8,132.29
17,9,116.69
17,10,104.2
17,11,93.95
17,12,85.39
17,13,78.14
17,14,71.91
17,15,66.5
17,16,61.76
17,17,57.57
17,18,53.84
17,19,50.49
17,20,47.48
17,21,44.75
17,22,42.27
17,23,40
17,24,37.92
17,25,36.01
18,5,216.15
18,6,178.93
18,7,152.29
18,8,132.29
18,9,116.7
18,10,104.2
18,11,93.95
18,12,85.4
18,13,78.15
18,14,71.92
18,15,66.51
18,16,61.77
18,17,57.58
18,18,53.85
18,19,50.5
18,20,47.49
18,21,44.76
18,22,42.28
18,23,40.02
18,24,37.94
18,25,36.03
19,5,216.15
19,6,178.93
19,7,152.3
19,8,132.29
19,9,116.7
19,10,104.2
19,11,93.96
19,12,85.4
19,13,78.15
19,14,71.93
19,15,66.52
19,16,61.78
19,17,57.59
19,18,53.86
19,19,50.52
19,20,47.51
19,21,44.78
19,22,42.3
19,23,40.04
19,24,37.96
19,25,36.05
20,5,216.15
20,6,178.93
20,7,152.3
20,8,132.29
20,9,116.7
20,10,104.21
20,11,93.97
20,12,85.41
20,13,78.16
20,14,71.94
20,15,66.53
20,16,61.79
20,17,57.6
20,18,53.88
20,19,50.54
20,20,47.53
20,21,44.8
20,22,42.33
20,23,40.06
20,24,37.99
20,25,36.08
21,5,216.15
21,6,178.93
21,7,152.3
21,8,132.3
21,9,116.71
21,10,104.22
21,11,93.98
21,12,85.43
21,13,78.18
21,14,71.95
21,15,66.55
21,16,61.81
21,17,57.62
21,18,53.9
21,19,50.56
21,20,47.55
21,21,44.83
21,22,42.35
21,23,40.09
21,24,38.02
21,25,36.12
22,5,216.16
22,6,178.94
22,7,152.31
22,8,132.31
22,9,116.72
22,10,104.23
22,11,93.99
22,12,85.44
22,13,78.19
22,14,71.97
22,15,66.57
22,16,61.83
22,17,57.65
22,18,53.92
22,19,50.59
22,20,47.58
22,21,44.86
22,22,42.39
22,23,40.13
22,24,38.06
22,25,36.16
23,5,216.17
23,6,178.95
23,7,152.33
23,8,132.32
23,9,116.74
23,10,104.25
23,11,94.01
23,12,85.46
23,13,78.22
23,14,72
23,15,66.59
23,16,61.86
23,17,57.68
23,18,53.96
23,19,50.62
23,20,47.62
23,21,44.9
23,22,42.43
23,23,40.18
23,24,38.11
23,25,36.21
24,5,216.18
24,6,178.97
24,7,152.35
24,8,132.35
24,9,116.76
24,10,104.28
24,11,94.04
24,12,85.49
24,13,78.25
24,14,72.03
24,15,66.63
24,16,61.9
24,17,57.72
24,18,54
24,19,50.67
24,20,47.67
24,21,44.95
24,22,42.48
24,23,40.23
24,24,38.17
24,25,36.27
25,5,216.2
25,6,178.99
25,7,152.37
25,8,132.37
25,9,116.79
25,10,104.31
25,11,94.07
25,12,85.53
25,13,78.28
25,14,72.07
25,15,66.67
25,16,61.94
25,17,57.76
25,18,54.05
25,19,50.72
25,20,47.72
25,21,45.01
25,22,42.54
25,23,40.29
25,24,38.23
25,25,36.34
26,5,216.23
26,6,179.02
26,7,152.4
26,8,132.4
26,9,116.83
26,10,104.34
26,11,94.11
26,12,85.57
26,13,78.33
26,14,72.11
26,15,66.72
26,16,61.99
26,17,57.82
26,18,54.1
26,19,50.78
26,20,47.79
26,21,45.08
26,22,42.61
26,23,40.37
26,24,38.31
26,25,36.42
27,5,216.26
27,6,179.05
27,7,152.44
27,8,132.44
27,9,116.87
27,10,104.38
27,11,94.15
27,12,85.61
27,13,78.38
27,14,72.17
27,15,66.78
27,16,62.05
27,17,57.88
27,18,54.17
27,19,50.85
27,20,47.86
27,21,45.16
27,22,42.7
27,23,40.45
27,24,38.4
27,25,36.51
28,5,216.3
28,6,179.09
28,7,152.48
28,8,132.49
28,9,116.91
28,10,104.43
28,11,94.21
28,12,85.67
28,13,78.44
28,14,72.23
28,15,66.84
28,16,62.13
28,17,57.96
28,18,54.25
28,19,50.94
28,20,47.95
28,21,45.25
28,22,42.79
28,23,40.55
28,24,38.5
28,25,36.62
29,5,216.34
29,6,179.13
29,7,152.52
29,8,132.54
29,9,116.97
29,10,104.49
29,11,94.27
29,12,85.74
29,13,78.51
29,14,72.31
29,15,66.92
29,16,62.21
29,17,58.05
29,18,54.35
29,19,51.03
29,20,48.05
29,21,45.35
29,22,42.9
29,23,40.67
29,24,38.62
29,25,36.74
30,5,216.38
30,6,179.19
30,7,152.58
30,8,132.6
30,9,117.03
30,10,104.56
30,11,94.35
30,12,85.82
30,13,78.6
30,14,72.4
30,15,67.02
30,16,62.31
30,17,58.15
30,18,54.46
30,19,51.15
30,20,48.17
30,21,45.48
30,22,43.03
30,23,40.8
30,24,38.75
30,25,36.88
31,5,216.44
31,6,179.25
31,7,152.65
31,8,132.67
31,9,117.11
31,10,104.65
31,11,94.44
31,12,85.92
31,13,78.7
31,14,72.51
31,15,67.13
31,16,62.43
