entryAge,policyTerm,rate
18,1,1.13
18,2,1.15
18,3,1.18
18,4,1.2
18,5,1.23
18,6,1.25
18,7,1.27
18,8,1.28
18,9,1.3
18,10,1.32
19,1,1.18
19,2,1.21
19,3,1.23
19,4,1.25
19,5,1.27
19,6,1.29
19,7,1.31
19,8,1.33
19,9,1.34
19,10,1.35
20,1,1.24
20,2,1.26
20,3,1.28
20,4,1.3
20,5,1.32
20,6,1.34
20,7,1.35
20,8,1.36
20,9,1.38
20,10,1.39
21,1,1.28
21,2,1.3
21,3,1.32
21,4,1.34
21,5,1.36
21,6,1.37
21,7,1.39
21,8,1.4
21,9,1.41
21,10,1.42
22,1,1.33
22,2,1.35
22,3,1.36
22,4,1.38
22,5,1.39
22,6,1.41
22,7,1.42
22,8,1.43
22,9,1.44
22,10,1.44
23,1,1.37
23,2,1.38
23,3,1.4
23,4,1.41
23,5,1.42
23,6,1.43
23,7,1.44
23,8,1.45
23,9,1.46
23,10,1.46
24,1,1.4
24,2,1.41
24,3,1.43
24,4,1.44
24,5,1.45
24,6,1.46
24,7,1.47
24,8,1.47
24,9,1.48
24,10,1.48
25,1,1.43
25,2,1.44
25,3,1.45
25,4,1.46
25,5,1.47
25,6,1.48
25,7,1.48
25,8,1.49
25,9,1.49
25,10,1.5
26,1,1.46
26,2,1.47
26,3,1.48
26,4,1.48
26,5,1.49
26,6,1.49
26,7,1.5
26,8,1.5
26,9,1.51
26,10,1.51
27,1,1.48
27,2,1.49
27,3,1.49
27,4,1.5
27,5,1.5
27,6,1.51
27,7,1.51
27,8,1.51
27,9,1.52
27,10,1.54
28,1,1.5
28,2,1.5
28,3,1.51
28,4,1.51
28,5,1.51
28,6,1.51
28,7,1.52
28,8,1.53
28,9,1.54
28,10,1.56
29,1,1.51
29,2,1.51
29,3,1.52
29,4,1.52
29,5,1.52
29,6,1.52
29,7,1.53
29,8,1.55
29,9,1.57
29,10,1.6
30,1,1.52
30,2,1.52
30,3,1.52
30,4,1.52
30,5,1.53
30,6,1.54
30,7,1.56
30,8,1.58
30,9,1.61
30,10,1.64
31,1,1.52
31,2,1.52
31,3,1.52
31,4,1.53
31,5,1.54
31,6,1.56
31,7,1.59
31,8,1.62
31,9,1.66
31,10,1.7
32,1,1.52
32,2,1.52
32,3,1.53
32,4,1.55
32,5,1.57
32,6,1.6
32,7,1.64
32,8,1.68
32,9,1.72
32,10,1.77
33,1,1.52
33,2,1.54
33,3,1.56
33,4,1.59
33,5,1.62
33,6,1.66
33,7,1.7
33,8,1.75
33,9,1.81
33,10,1.87
34,1,1.56
34,2,1.58
34,3,1.61
34,4,1.65
34,5,1.69
34,6,1.74
34,7,1.79
34,8,1.85
34,9,1.91
34,10,1.98
35,1,1.61
35,2,1.64
35,3,1.68
35,4,1.73
35,5,1.78
35,6,1.84
35,7,1.9
35,8,1.96
35,9,2.04
35,10,2.11
36,1,1.68
36,2,1.72
36,3,1.77
36,4,1.83
36,5,1.89
36,6,1.95
36,7,2.02
36,8,2.1
36,9,2.18
36,10,2.26
37,1,1.77
37,2,1.82
37,3,1.88
37,4,1.94
37,5,2.01
37,6,2.09
37,7,2.17
37,8,2.26
37,9,2.34
37,10,2.43
38,1,1.88
38,2,1.94
38,3,2.01
38,4,2.08
38,5,2.16
38,6,2.25
38,7,2.34
38,8,2.43
38,9,2.52
38,10,2.62
39,1,2
39,2,2.08
39,3,2.15
39,4,2.24
39,5,2.34
39,6,2.43
39,7,2.52
39,8,2.62
39,9,2.72
39,10,2.83
40,1,2.15
40,2,2.23
40,3,2.33
40,4,2.43
40,5,2.52
40,6,2.62
40,7,2.72
40,8,2.83
40,9,2.95
40,10,3.08
41,1,2.32
41,2,2.42
41,3,2.53
41,4,2.63
41,5,2.72
41,6,2.83
41,7,2.94
41,8,3.07
41,9,3.2
41,10,3.35
42,1,2.53
42,2,2.64
42,3,2.74
42,4,2.84
42,5,2.94
42,6,3.06
42,7,3.19
42,8,3.34
42,9,3.5
42,10,3.67
43,1,2.75
43,2,2.85
43,3,2.95
43,4,3.06
43,5,3.18
43,6,3.32
43,7,3.47
43,8,3.64
43,9,3.82
43,10,4.01
44,1,2.95
44,2,3.05
44,3,3.17
44,4,3.3
44,5,3.45
44,6,3.61
44,7,3.79
44,8,3.98
44,9,4.18
44,10,4.4
45,1,3.16
45,2,3.28
45,3,3.43
45,4,3.59
45,5,3.76
45,6,3.95
45,7,4.15
45,8,4.37
45,9,4.6
45,10,4.84
46,1,3.42
46,2,3.57
46,3,3.75
46,4,3.93
46,5,4.13
46,6,4.35
46,7,4.58
46,8,4.82
46,9,5.07
46,10,5.33
47,1,3.74
47,2,3.92
47,3,4.12
47,4,4.33
47,5,4.56
47,6,4.8
47,7,5.05
47,8,5.32
47,9,5.59
47,10,5.88
48,1,4.11
48,2,4.32
48,3,4.55
48,4,4.79
48,5,5.04
48,6,5.31
48,7,5.58
48,8,5.87
48,9,6.17
48,10,6.48
49,1,4.54
49,2,4.78
49,3,5.03
49,4,5.3
49,5,5.58
49,6,5.87
49,7,6.17
49,8,6.49
49,9,6.81
49,10,7.14
50,1,5.03
50,2,5.29
50,3,5.57
50,4,5.87
50,5,6.17
50,6,6.49
50,7,6.82
50,8,7.15
50,9,7.5
50,10,7.86
51,1,5.57
51,2,5.87
51,3,6.17
51,4,6.49
51,5,6.82
51,6,7.16
51,7,7.52
51,8,7.88
51,9,8.25
51,10,8.61
52,1,6.17
52,2,6.49
52,3,6.83
52,4,7.17
52,5,7.53
52,6,7.9
52,7,8.27
52,8,8.66
52,9,9.03
52,10,9.41
53,1,6.83
53,2,7.18
53,3,7.54
53,4,7.91
53,5,8.29
53,6,8.68
53,7,9.08
53,8,9.47
53,9,9.86
53,10,10.28
54,1,7.54
54,2,7.92
54,3,8.3
54,4,8.7
54,5,9.11
54,6,9.52
54,7,9.92
54,8,10.33
54,9,10.76
54,10,11.22
55,1,8.31
55,2,8.71
55,3,9.13
55,4,9.55
55,5,9.98
55,6,10.39
55,7,10.81
55,8,11.26
55,9,11.74
55,10,12.26
56,1,9.13
56,2,9.56
56,3,10
56,4,10.45
56,5,10.87
56,6,11.3
56,7,11.77
56,8,12.27
56,9,12.81
56,10,13.39
57,1,10.01
57,2,10.47
57,3,10.9
57,4,11.36
57,5,11.81
57,6,12.29
57,7,12.81
57,8,13.38
57,9,14
57,10,14.66
58,1,10.95
58,2,11.43
58,3,11.9
58,4,12.31
58,5,12.81
58,6,13.37
58,7,13.97
58,8,14.62
58,9,15.32
58,10,16.05
59,1,11.94
59,2,12.34
59,3,12.8
59,4,13.34
59,5,13.93
59,6,14.57
59,7,15.26
59,8,16
59,9,16.78
59,10,17.49
60,1,12.77
60,2,13.29
60,3,13.9
60,4,14.5
60,5,15.18
60,6,15.92
60,7,16.71
60,8,17.54
60,9,18.29
60,10,19.13
