entryAge,policyTerm,rate
20,11,41.11
20,12,42.44
20,13,43.72
20,14,44.98
20,15,46.75
20,16,50.22
20,17,51.59
20,18,53
20,19,54.46
20,20,56.59
21,11,41.46
21,12,42.79
21,13,44.11
21,14,45.42
21,15,47.25
21,16,50.83
21,17,52.3
21,18,53.82
21,19,55.4
21,20,57.67
22,11,41.75
22,12,43.12
22,13,44.48
22,14,45.86
22,15,47.79
22,16,51.49
22,17,53.07
22,18,54.72
22,19,56.44
22,20,58.89
23,11,42.02
23,12,43.44
23,13,44.88
23,14,46.35
23,15,48.38
23,16,52.23
23,17,53.94
23,18,55.73
23,19,57.62
23,20,60.27
24,11,42.3
24,12,43.8
24,13,45.33
24,14,46.9
24,15,49.06
24,16,53.07
24,17,54.93
24,18,56.91
24,19,58.98
24,20,61.8
25,11,42.62
25,12,44.21
25,13,45.85
25,14,47.55
25,15,49.84
25,16,54.05
25,17,56.11
25,18,58.27
25,19,60.5
25,20,63.5
26,11,43.01
26,12,44.71
26,13,46.48
26,14,48.31
26,15,50.77
26,16,55.22
26,17,57.47
26,18,59.8
26,19,62.21
26,20,65.43
27,11,43.49
27,12,45.33
27,13,47.24
27,14,49.24
27,15,51.91
27,16,56.61
27,17,59.04
27,18,61.54
27,19,64.15
27,20,67.64
28,11,44.11
28,12,46.1
28,13,48.17
28,14,50.37
28,15,53.26
28,16,58.21
28,17,60.82
28,18,63.54
28,19,66.41
28,20,70.21
29,11,44.88
29,12,47.05
29,13,49.34
29,14,51.75
29,15,54.83
29,16,60.04
29,17,62.87
29,18,65.86
29,19,69.03
29,20,73.2
30,11,45.86
30,12,48.24
30,13,50.75
30,14,53.35
30,15,56.64
30,16,62.17
30,17,65.28
30,18,68.58
30,19,72.1
30,20,76.67
31,11,47.09
31,12,49.71
31,13,52.41
31,14,55.21
31,15,58.75
31,16,64.67
31,17,68.11
31,18,71.77
31,19,75.66
31,20,80.68
32,11,48.62
32,12,51.44
32,13,54.35
32,14,57.39
32,15,61.25
32,16,67.61
32,17,71.42
32,18,75.48
32,19,79.8
32,20,85.31
33,11,50.42
33,12,53.46
33,13,56.62
33,14,59.95
33,15,64.18
33,16,71.07
33,17,75.29
33,18,79.79
33,19,84.56
33,20,90.6
34,11,52.47
34,12,55.76
34,13,59.24
34,14,62.92
34,15,67.56
34,16,75.04
34,17,79.72
34,18,84.7
34,19,89.96
34,20,96.58
35,11,54.79
35,12,58.41
35,13,62.24
35,14,66.32
35,15,71.43
35,16,79.56
35,17,84.74
35,18,90.23
35,19,96.03
35,20,103.25
36,11,57.42
36,12,61.42
36,13,65.67
36,14,70.19
36,15,75.82
36,16,84.67
36,17,90.39
36,18,96.43
36,19,102.79
36,20,110.64
37,11,60.41
37,12,64.84
37,13,69.55
37,14,74.57
37,15,80.77
37,16,90.4
37,17,96.7
37,18,103.32
37,19,110.26
37,20,118.79
38,11,63.79
38,12,68.71
38,13,73.94
38,14,79.49
38,15,86.3
38,16,96.79
38,17,103.69
38,18,110.92
38,19,118.47
38,20,127.7
39,11,67.61
39,12,73.06
39,13,78.85
39,14,84.99
39,15,92.46
39,16,103.86
39,17,111.4
39,18,119.26
39,19,127.44
39,20,137.38
40,11,71.91
40,12,77.95
40,13,84.35
40,14,91.1
40,15,99.27
40,16,111.64
40,17,119.85
40,18,128.38
40,19,137.19
40,20,147.72
41,11,76.74
41,12,83.41
41,13,90.45
41,14,97.86
41,15,106.77
41,16,120.18
41,17,129.07
41,18,138.27
41,19,147.58
41,20,158.84
42,11,82.08
42,12,89.42
42,13,97.15
42,14,105.25
42,15,114.94
42,16,129.44
42,17,139.04
42,18,148.75
42,19,158.7
42,20,170.81
43,11,87.99
43,12,96.06
43,13,104.51
43,14,113.33
43,15,123.83
43,16,139.47
43,17,149.61
43,18,159.99
43,19,170.7
43,20,183.8
44,11,94.6
44,12,103.42
44,13,112.63
44,14,122.2
44,15,133.53
44,16,150.18
44,17,161.02
44,18,172.2
44,19,183.79
44,20,197.97
45,11,101.94
45,12,111.56
45,13,121.56
45,14,131.89
45,15,143.9
45,16,161.76
45,17,173.44
45,18,185.54
45,19,198.09
45,20,213.44
46,11,110.02
46,12,120.47
46,13,131.26
46,14,142.19
46,15,155.05
46,16,174.3
46,17,186.94
46,18,200.06
46,19,213.67
46,20,230.29
47,11,118.82
47,12,130.1
47,13,141.53
47,14,153.22
47,15,167.09
47,16,187.9
47,17,201.61
47,18,215.84
47,19,230.59
47,20,248.47
48,11,128.3
48,12,140.25
48,13,152.48
48,14,165.1
48,15,180.12
48,16,202.65
48,17,217.52
48,18,232.96
48,19,248.83
48,20,267.21
49,11,138.23
49,12,151.04
49,13,164.24
49,14,177.93
49,15,194.22
49,16,218.62
49,17,234.77
49,18,251.38
49,19,267.57
49,20,287.6
50,11,148.76
50,12,162.6
50,13,176.93
50,14,191.8
50,15,209.48
50,16,235.92
50,17,253.31
50,18,270.27
50,19,287.97
50,20,309.67
